Issue Type,Summary,Epic Name,Description,Priority,Components,Labels
Epic,[E1] Nutzerkonto & Anmeldung,Nutzerkonto & Anmeldung,"Registrierung, Login, Social Sign-In, Profildaten, Sitzungen, Passwortrichtlinien.",High,Core,"initiative,roadmap-q1"
Epic,[E2] Rezepte-Katalog & Suche,Rezepte-Katalog & Suche,"Taxonomie, Facettenfilter, Volltext, Autocomplete, Sortierung, leere Trefferseiten.",High,Core,"initiative,roadmap-q1"
Epic,[E3] Rezept-Erstellung & Moderation,Rezept-Erstellung & Moderation,"UGC-Editor, Richtlinien, Review-Flow, Versionierung, Medien-Handling.",High,Core,"initiative,roadmap-q1"
Epic,[E4] Personalisierung & Sammlungen,Personalisierung & Sammlungen,"Favoriten, Sammlungen, Verlauf, Feed, kalorien-/diätbasierte Empfehlungen.",High,Core,"initiative,roadmap-q1"
Epic,[E5] Einkaufsliste & Wochenplanung,Einkaufsliste & Wochenplanung,"Automatische Einkaufslisten, Mengen-Skalierung, Wochenplan mit Export.",High,Core,"initiative,roadmap-q1"
Epic,[E6] Community & Interaktion,Community & Interaktion,"Bewertungen, Kommentare, Melden/Freigeben, Autorenprofile.",High,Core,"initiative,roadmap-q1"
Epic,[E7] Internationalisierung & A11y,Internationalisierung & A11y,"i18n/l10n, RTL-Readiness, Tastaturbedienung, Screenreader, Kontraste.",High,Core,"initiative,roadmap-q1"
Epic,"[E8] Performance, SEO & Discovery","Performance, SEO & Discovery","Core Web Vitals, Caching/Edge, schema.org/Recipe, Sitemaps, OpenGraph.",High,Core,"initiative,roadmap-q1"
Epic,[E9] Mobile & PWA,Mobile & PWA,"Responsive, PWA-Manifest, Offline-Cache, Installierbarkeit, Push.",High,Core,"initiative,roadmap-q1"
Epic,[E10] Analytics & Experimentation,Analytics & Experimentation,"Ereignis-Tracking, KPI-Dashboards, A/B-Tests, Privacy-by-Design.",High,Core,"initiative,roadmap-q1"
Epic,[E11] Sicherheit & Datenschutz,Sicherheit & Datenschutz,"DSGVO, DSR-Automation, RBAC, Audit-Logs, Content-Reports.",High,Core,"initiative,roadmap-q1"
Epic,"[E12] DevEx, CI/CD & Infra","DevEx, CI/CD & Infra","Pipelines, IaC, Observability, Blue/Green, Feature-Flags, Rollbacks.",High,Core,"initiative,roadmap-q1"
Epic,[E13] Admin-Backoffice,Admin-Backoffice,"Moderation, Content-Tools, Nutzerverwaltung, Exporte, Reports.",High,Core,"initiative,roadmap-q1"
Epic,[E14] Benachrichtigungen,Benachrichtigungen,"E-Mail/Push, Opt-ins, Präferenzen, Digest-Mails.",High,Core,"initiative,roadmap-q1"
