id,titel,beschreibung,zielgruppe,kuche,ernahrung,schwierigkeitsgrad,portionen,vorbereitungszeit_min,kochzeit_min,gesamtzeit_min,kalorien_kcal,protein_g,kohlenhydrate_g,fett_g,allergene,tags,bewertung,autor,zutaten_json,schritte_json,sprache,erstellt_am,seo_slug
1,Mexikanischer Salat to go (omnivor),"Schnelles Mexikanisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Mexikanisch,omnivor,mittel,4,12,9,21,550,35,31,36,laktose,"familienfreundlich, mealprep, pikant, reis, unter_15_min, unter_30_min",4.2,Gastautor,"[""1 x Zucchini"", ""2 x Tomatenmark"", ""1 x Reis"", ""1 x Rapsöl"", ""2 x Currypaste"", ""1 x Zwiebel"", ""2 x Olivenöl"", ""2 x Petersilie"", ""3 x Gurke"", ""2 x Joghurt""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,1-mexikanischer-salat-to-go-(omnivor)
2,Meal‑Prep Amerikanisch (pescetarisch) für 3 Tage,"Schnelles Amerikanisch-Rezept, abgestimmt auf Studierende.",Studierende,Amerikanisch,pescetarisch,mittel,1,8,17,25,616,27,30,32,"laktose, sesam","pikant, saisonal, schnell, unter_30_min",4.5,Chefkoch Max,"[""3 x Reis"", ""1 x Brühe"", ""3 x Kokosmilch"", ""3 x Gurke"", ""1 x Kidneybohnen"", ""1 x Koriander"", ""2 x Haferflocken"", ""2 x Lachsfilet"", ""2 x Joghurt""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,2-meal‑prep-amerikanisch-(pescetarisch)-für-3-tage
3,Indische Bowl für One-Pot (vegetarisch),"Schnelles Indisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Indisch,vegetarisch,mittel,4,12,6,18,434,20,55,22,"gluten, sesam","eintopf, faserreich, mild, proteinreich, saisonal, suppe, unter_30_min",4.0,Chefkoch Lina,"[""3 x Currypaste"", ""1 x Rapsöl"", ""2 x Kokosmilch"", ""2 x Tomate"", ""3 x Kartoffeln"", ""2 x Aubergine"", ""3 x Karotte"", ""2 x Olivenöl"", ""3 x Joghurt"", ""1 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,3-indische-bowl-für-one-pot-(vegetarisch)
4,Ofenrezept: Mexikanische Blechvariante (pescetarisch),"Schnelles Mexikanisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Mexikanisch,pescetarisch,leicht,2,8,14,22,456,32,52,20,senf,"familienfreundlich, mealprep, proteinreich, reis, schnell, unter_30_min",4.1,Chefkoch Max,"[""1 x Zitrone"", ""1 x Zwiebel"", ""3 x Quinoa"", ""2 x Aubergine"", ""1 x Koriander"", ""3 x Paprika"", ""1 x Kidneybohnen"", ""1 x Sojasauce"", ""3 x Rapsöl"", ""2 x Tofu"", ""3 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,4-ofenrezept:-mexikanische-blechvariante-(pescetarisch)
5,Orientalischer Salat to go (vegan),"Schnelles Orientalisch-Rezept, abgestimmt auf Familien.",Familien,Orientalisch,vegan,mittel,2,11,27,38,632,33,54,22,"gluten, laktose, sellerie","familienfreundlich, ofen, pikant, saisonal, unter_15_min",4.1,Chefkoch Lina,"[""1 x Zucchini"", ""3 x Zwiebel"", ""1 x Tomate"", ""3 x Quinoa"", ""3 x Knoblauchzehe"", ""3 x Karotte"", ""2 x Tomatenmark"", ""1 x Kichererbsen"", ""2 x Sojasauce"", ""2 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,5-orientalischer-salat-to-go-(vegan)
6,Italienische Pasta in 15 Minuten (omnivor),"Schnelles Italienisch-Rezept, abgestimmt auf Sportler.",Sportler,Italienisch,omnivor,leicht,3,16,18,34,773,29,51,29,,"familienfreundlich, high_protein, low_carb, mild, ofen, pikant, proteinreich",3.9,Chefkoch Max,"[""1 x Reis"", ""1 x Brühe"", ""1 x Aubergine"", ""1 x Currypaste"", ""2 x Koriander"", ""2 x Karotte"", ""2 x Zucchini"", ""1 x Rapsöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,6-italienische-pasta-in-15-minuten-(omnivor)
7,Asiatische Pasta in 15 Minuten (omnivor),"Schnelles Asiatisch-Rezept, abgestimmt auf Budget.",Budget,Asiatisch,omnivor,mittel,4,5,17,22,665,32,41,40,"gluten, sellerie, weichtiere","familienfreundlich, high_protein, schnell, unter_30_min",4.0,Chefkoch Max,"[""1 x Quinoa"", ""1 x Paprika"", ""1 x Koriander"", ""3 x Pasta"", ""1 x Aubergine"", ""3 x Kartoffeln"", ""1 x Currypaste""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,7-asiatische-pasta-in-15-minuten-(omnivor)
8,One‑Pot Mediterran Comfort Food (omnivor),"Schnelles Mediterran-Rezept, abgestimmt auf Budget.",Budget,Mediterran,omnivor,mittel,3,6,24,30,617,39,30,28,sesam,"eintopf, familienfreundlich, faserreich, mild, ofen, pikant, unter_30_min",4.1,Community,"[""1 x Tomate"", ""1 x Zwiebel"", ""2 x Brühe"", ""2 x Vollkornpasta"", ""1 x Pasta"", ""2 x Paprika"", ""3 x Karotte"", ""3 x Reis"", ""2 x Hähnchenbrust""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,8-one‑pot-mediterran-comfort-food-(omnivor)
9,Meal‑Prep Deutsch (pescetarisch) für 3 Tage,"Schnelles Deutsch-Rezept, abgestimmt auf Low-Carb.",Low-Carb,Deutsch,pescetarisch,mittel,2,14,26,40,368,26,31,19,,"familienfreundlich, low_carb, ofen, reis, schnell",4.5,Community,"[""1 x Basilikum"", ""3 x Kartoffeln"", ""2 x Paprika"", ""3 x Karotte"", ""3 x Quinoa"", ""2 x Spinat"", ""3 x Sojasauce"", ""1 x Lachsfilet"", ""1 x Knoblauchzehe"", ""1 x Zwiebel"", ""3 x Kichererbsen""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,9-meal‑prep-deutsch-(pescetarisch)-für-3-tage
10,Ofenrezept: Deutsche Blechvariante (glutenfrei),"Schnelles Deutsch-Rezept, abgestimmt auf Familien.",Familien,Deutsch,glutenfrei,mittel,3,9,18,27,368,21,43,11,,"eintopf, familienfreundlich, pfanne, pikant, proteinreich, unter_30_min",4.7,Gastautor,"[""2 x Tofu"", ""1 x Aubergine"", ""3 x Kichererbsen"", ""1 x Rapsöl"", ""2 x Petersilie"", ""1 x Gurke"", ""2 x Spinat"", ""1 x Zwiebel"", ""1 x Tomatenmark"", ""2 x Kokosmilch"", ""2 x Basilikum""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,10-ofenrezept:-deutsche-blechvariante-(glutenfrei)
